Order ID,AWB Number,Total weight as per X (KG),Weight slab as per X (KG),Charged Weight,Weight slab charged by Courier Company (KG),Delivery Zone as per X,Delivery Zone charged by Courier Company,Expected Charge as per X (Rs.),Charges Billed by Courier Company,Difference Between Expected Charges and Billed Charges (Rs.)
2001806232,1.09112E+12,0.377,1,1.3,1.3,b,d,95,135,-40
2001806273,1.09112E+12,0.615,1,1,1,b,d,80,90.2,-10.2
2001806408,1.09112E+12,0.929,1,2.5,2.5,b,d,155,224.6,-69.6
2001806458,1.09112E+12,0.7,1,1,1,b,b,80,61.3,18.700000000000003
2001807012,1.09112E+12,0.24,1,0.15,0.15,b,d,37.5,45.4,-7.9
2001806686,1.09112E+12,0.24,1,0.15,0.15,b,d,37.5,45.4,-7.9
2001806885,1.09112E+12,0.42,1,1,1,b,b,80,61.3,18.700000000000003
2001807058,1.09112E+12,1.168,1,1.15,1.15,b,b,87.5,89.6,-2.1
2001807186,1.09112E+12,0.5,1,0.5,0.5,b,d,55,45.4,9.600000000000001
2001807290,1.09112E+12,0.5,1,0.5,0.5,b,d,55,45.4,9.600000000000001
2001807814,1.09112E+12,0.607,1,0.79,0.79,b,b,69.5,61.3,8.200000000000003
2001807931,1.09112E+12,0.607,1,0.72,0.72,b,d,66,90.2,-24.2
2001807956,1.09112E+12,0.79,1,1.08,1.08,b,b,84,89.6,-5.6
2001807960,1.09112E+12,0.93,1,1,1,b,d,80,90.2,-10.2
2001807930,1.09112E+12,0.24,1,0.15,0.15,b,d,37.5,45.4,-7.9
2001808102,1.09112E+12,0.821,1,1.28,1.28,b,d,94,135,-41
2001808118,1.09112E+12,0.343,1,0.5,0.5,b,b,55,33,22
2001808207,1.09112E+12,0.607,1,0.79,0.79,b,d,69.5,90.2,-20.7
2001808295,1.09112E+12,0.245,1,0.2,0.2,b,e,40,107.3,-67.3
2001808507,1.09112E+12,0.607,1,0.79,0.79,b,b,69.5,61.3,8.200000000000003
2001808542,1.09112E+12,0.367,1,0.86,0.86,b,d,73,90.2,-17.2
2001808675,1.09112E+12,1.183,1,1.2,1.2,b,b,90,89.6,0.4000000000000057
2001807976,1.09112E+12,0.721,1,0.7,0.7,b,d,65,172.8,-107.8
2001812838,1.09112E+12,0.222,1,0.6,0.6,b,b,60,102.3,-42.3
2001816684,1.09112E+12,0.34,1,0.99,0.99,b,d,79.5,172.8,-93.3
2001817160,1.09112E+12,0.7,1,0.7,0.7,b,d,65,172.8,-107.8
2001818390,1.09112E+12,0.481,1,0.8,0.8,b,e,70,213.5,-143.5
2001821190,1.09112E+12,1.2,1,1.2,1.2,b,d,90,258.9,-168.9
2001817093,1.09112E+12,1.021,1,1.3,1.3,b,b,95,151.1,-56.1
2001823564,1.09112E+12,0.336,1,0.7,0.7,b,d,65,172.8,-107.8
2001825261,1.09112E+12,0.611,1,1.6,1.6,b,d,110,345,-235
2001811192,1.09112E+12,0.696,1,1.13,1.13,b,d,86.5,258.9,-172.4
